Building_Class,Zoning_Class,Lot_Size,Property_Shape,Land_Outline,Lot_Configuration,Neighborhood,Condition1,House_Type,House_Design,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF2,Heating_Quality,Air_Conditioning,Electrical_System,LowQualFinSF,Underground_Full_Bathroom,Underground_Half_Bathroom,Half_Bathroom_Above_Grade,Kitchen_Quality,Functional_Rate,Fireplaces,Garage,Garage_Finish_Year,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Miscellaneous_Value,Sale_Type,Sale_Condition,Sale_Price
20,RLD,9200,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,Hip,SS,VinylSd,VinylSd,0.0,TA,TA,CB,Gd,TA,Av,LwQ,491,TA,Y,SBrkr,0,1,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,94.88300275,5.646183412,-2.390122772,0,0,0,0,WD,Normal,130250
20,RLD,7945,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,BrkFace,Wd Sdng,0.0,TA,TA,CB,TA,TA,No,ALQ,506,Ex,Y,FuseA,0,1,0,0,TA,TF,0,Attchd,RFn,TA,TA,Y,-136.453742,-58.28739675,-35.53455452,0,0,0,0,WD,Normal,141000
120,RLD,7658,Reg,Lvl,I,NridgHt,Norm,TwnhsE,1Story,Hip,SS,MetalSd,MetalSd,412.0,Ex,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Ex,TF,1,Attchd,RFn,TA,TA,Y,-49.56180402,36.33283773,-39.84233715,0,0,0,0,WD,Normal,319900
50,RLD,12822,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Ex,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,1,Attchd,RFn,TA,TA,Y,308.2259253,167.5150576,3.620214297,0,198,0,0,WD,Abnorml,239686
20,FVR,11096,Reg,Lvl,I,Somerst,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,-45.91933692,88.2275502,-16.55949498,0,0,0,0,WD,Normal,249700
190,RMD,4456,Reg,Lvl,I,OldTown,Norm,2fmCon,2Story,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,BT,TA,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,0,TA,TF,0,Attchd,Unf,TA,TA,N,34.03035501,-15.99178181,90.33547898,0,0,0,0,New,Partial,113000
20,RLD,7742,Reg,Lvl,I,Sawyer,Norm,1Fam,1Story,Gable,SS,HdBoard,HdBoard,0.0,TA,TA,CB,TA,TA,No,BLQ,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,0,Attchd,Unf,TA,TA,Y,-71.56773366,107.9239966,25.62519415,0,0,0,0,WD,Normal,127000
60,RLD,13869,IR2,Lvl,C,Gilbert,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,Gd,TA,Av,GLQ,0,Gd,Y,SBrkr,0,0,1,0,TA,TF,0,Attchd,Fin,TA,TA,Y,140.8105087,-42.46747199,-94.08843257,0,0,0,0,WD,Normal,177000
50,RMD,6240,Reg,Lvl,I,BrkSide,Norm,1Fam,1.5Fin,Gable,SS,Wd Sdng,Wd Sdng,0.0,TA,TA,PC,TA,TA,No,Unf,0,TA,Y,SBrkr,360,0,0,0,TA,TF,1,Detchd,Unf,TA,TA,Y,31.88679967,130.5536591,-20.4592516,0,0,0,400,WD,Normal,114500
90,RMD,8472,IR2,Bnk,C,IDOTRR,RRNn,Duplex,1Story,Gable,SS,Wd Sdng,Wd Sdng,0.0,Fa,TA,CB,Gd,TA,Gd,LwQ,712,TA,N,SBrkr,0,1,0,0,TA,TF,0,CarPort,Unf,TA,TA,Y,181.9416488,-96.65532467,22.44155857,0,0,0,0,WD,Normal,110000
20,RLD,50271,IR1,Low,I,Veenker,Norm,1Fam,1Story,Gable,WSh,WdShing,Wd Shng,0.0,Gd,TA,CB,Ex,TA,Gd,GLQ,0,Gd,Y,SBrkr,0,2,0,1,Gd,TF,1,Attchd,Fin,TA,TA,Y,134.0751831,24.68107366,-3.212458,0,0,0,0,WD,Normal,385000
80,RLD,7134,Reg,Bnk,I,NAmes,Norm,1Fam,SLvl,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,CB,TA,TA,No,ALQ,0,TA,Y,SBrkr,0,0,0,0,TA,MD1,1,Detchd,Unf,TA,TA,Y,4.117301319,34.19463716,56.08319121,0,0,0,0,WD,Normal,130000
20,RLD,10175,IR1,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,HdBoard,Plywood,272.0,TA,TA,CB,TA,TA,No,BLQ,0,Gd,Y,SBrkr,0,0,0,0,TA,TF,1,Attchd,RFn,TA,TA,Y,78.99129364,24.41312171,135.3952663,407,0,0,0,WD,Normal,180500
160,FVR,2645,Reg,Lvl,I,Somerst,Norm,Twnhs,2Story,Gable,SS,MetalSd,MetalSd,456.0,Gd,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,0,Attchd,Fin,TA,TA,Y,23.18174682,165.69276,-34.01352573,0,0,0,0,WD,Abnorml,172500
60,RLD,11645,IR1,Lvl,C,CollgCr,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,0.0,Gd,TA,PC,Gd,TA,No,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,0,Attchd,RFn,TA,TA,Y,57.59033022,0.975575923,11.26190021,0,0,0,0,WD,Normal,196500
60,RLD,13682,IR2,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,Hip,SS,VinylSd,VinylSd,1031.0,Ex,TA,PC,Ex,TA,Gd,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,1,BuiltIn,Fin,TA,TA,Y,143.5466109,38.09663446,-44.07156785,0,0,0,0,New,Partial,438780
20,RLD,7200,Reg,Bnk,I,CollgCr,Norm,1Fam,1Story,Gable,SS,HdBoard,HdBoard,0.0,TA,TA,CB,TA,TA,Av,ALQ,0,Ex,Y,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-106.2415904,6.065544701,32.13668218,0,0,0,0,WD,Normal,124900
20,RLD,13072,Reg,Lvl,I,SawyerW,RRAe,1Fam,1Story,Gable,SS,VinylSd,VinylSd,0.0,TA,TA,PC,Gd,TA,No,ALQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,0,Detchd,Unf,TA,TA,Y,129.5781963,-103.9118952,97.26064831,0,0,0,0,New,Partial,158000
75,RMD,7200,Reg,Lvl,I,IDOTRR,Norm,1Fam,2.5Unf,Gable,SS,MetalSd,MetalSd,0.0,TA,TA,BT,TA,Fa,No,Unf,0,TA,N,SBrkr,0,0,0,0,Fa,TF,0,Detchd,Unf,TA,TA,N,79.68430261,102.3197743,68.32526409,0,0,0,0,WD,Normal,101000
120,RLD,6442,IR1,Lvl,I,NridgHt,Norm,TwnhsE,1Story,Gable,SS,VinylSd,VinylSd,178.0,Gd,TA,PC,Gd,Gd,Mn,GLQ,0,Ex,Y,SBrkr,0,0,0,0,Gd,TF,1,Attchd,RFn,TA,TA,Y,210.461789,9.602987804,-11.49508248,0,0,0,0,WD,Normal,202500
70,RMD,10300,IR1,Bnk,I,OldTown,RRAn,1Fam,2Story,Gable,SS,Stucco,Stucco,0.0,TA,TA,BT,TA,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-84.86270366,-10.62758548,30.94613268,0,0,0,0,WD,Normal,140000
60,RLD,9375,Reg,Lvl,I,CollgCr,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,573.0,TA,TA,PC,Gd,TA,No,GLQ,0,Ex,Y,SBrkr,0,1,0,1,Gd,TF,0,Attchd,RFn,TA,TA,Y,189.2468916,24.74131735,58.50142166,0,0,0,0,WD,Normal,219500
60,RLD,9591,Reg,Lvl,I,NridgHt,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,344.0,Gd,TA,PC,Ex,TA,Av,Unf,0,Ex,Y,SBrkr,0,0,0,1,Gd,TF,1,BuiltIn,RFn,TA,TA,Y,68.19054368,39.70749008,29.36703652,0,0,0,0,WD,Normal,317000
20,RLD,19900,Reg,Lvl,I,NAmes,PosA,1Fam,1Story,Gable,SS,Plywood,Plywood,287.0,TA,TA,CB,Gd,TA,Gd,GLQ,0,TA,Y,SBrkr,0,1,0,0,TA,MD1,1,Attchd,RFn,TA,TA,Y,139.0913186,-19.97658891,-11.38825291,0,0,0,0,WD,Normal,180000
20,RLD,10665,IR1,Lvl,I,CollgCr,Norm,1Fam,1Story,Gable,SS,VinylSd,VinylSd,167.0,Gd,TA,PC,Gd,TA,Av,GLQ,0,Ex,Y,SBrkr,0,1,0,0,Gd,TF,0,Attchd,RFn,TA,TA,Y,4.63133471,47.60829457,73.40733788,0,0,0,0,WD,Normal,226000
30,RMD,4608,Reg,Lvl,C,OldTown,Artery,1Fam,1Story,Gable,SS,MetalSd,MetalSd,0.0,TA,Gd,CB,TA,TA,No,Unf,0,TA,Y,SBrkr,0,0,0,0,TA,TF,0,Attchd,Unf,TA,TA,Y,100.6574009,1.488239292,-77.06648233,0,0,0,0,WD,Normal,80000
50,RLD,15593,Reg,Lvl,C,ClearCr,Norm,1Fam,1.5Fin,Gable,SS,BrkFace,AsbShng,0.0,Gd,TA,CB,TA,TA,No,BLQ,0,TA,Y,SBrkr,0,0,0,0,TA,TF,1,Attchd,Fin,TA,TA,Y,-162.7398894,113.7577995,114.8069476,0,0,0,0,WD,Normal,225000
20,RLD,13651,IR1,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,Plywood,Plywood,1115.0,TA,Gd,CB,Gd,TA,Gd,ALQ,0,Ex,Y,SBrkr,0,1,0,0,TA,TF,2,Attchd,Fin,TA,TA,Y,193.0773209,50.37351217,112.8968464,0,0,0,0,WD,Normal,244000
20,RLD,7599,Reg,Lvl,C,Mitchel,Norm,1Fam,1Story,Gable,SS,HdBoard,Plywood,0.0,TA,TA,CB,TA,TA,No,ALQ,0,TA,Y,SBrkr,0,1,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,-171.7647678,116.7493187,-39.1243494,0,0,0,0,WD,Normal,129500
60,RLD,10141,IR1,Lvl,C,Gilbert,Norm,1Fam,2Story,Gable,SS,VinylSd,VinylSd,40.0,TA,TA,PC,Gd,TA,No,Unf,0,Gd,Y,SBrkr,0,0,0,1,TA,TF,1,Attchd,Fin,TA,TA,Y,-14.8966349,95.40305158,111.6300967,0,291,0,0,WD,Normal,185000
20,RLD,10200,Reg,Lvl,I,NAmes,Norm,1Fam,1Story,Gable,SS,Wd Sdng,Wd Sdng,104.0,TA,TA,CB,TA,TA,No,ALQ,362,Gd,Y,SBrkr,0,1,0,0,TA,TF,0,Attchd,Unf,TA,TA,Y,146.6101509,32.29217389,84.69571218,0,0,0,0,WD,Normal,144900
50,RMD,5790,Reg,Lvl,C,OldTown,Norm,1Fam,2Story,Gambrel,SS,VinylSd,VinylSd,0.0,Gd,Gd,CB,Fa,TA,No,Unf,0,Gd,N,SBrkr,0,0,0,0,TA,TF,0,Detchd,Unf,TA,TA,Y,156.3673375,94.06068743,11.17382388,0,0,0,0,WD,Normal,107400
180,RMD,1596,Reg,Lvl,I,MeadowV,Norm,Twnhs,SLvl,Gable,SS,CemntBd,CmentBd,0.0,TA,TA,CB,Gd,TA,Gd,GLQ,0,TA,Y,SBrkr,0,1,0,0,TA,TF,0,BuiltIn,Unf,TA,TA,Y,53.79948708,29.45446068,-17.57000176,0,0,0,0,WD,Normal,91000
